trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
20230523,000582.SZ,北部湾港,港口,广西,14.58,14.1,17.72,300.51,36.63,165.96,45.08,2.54,0.14,7.33,1.07,19951102,62.32,3.52,8.8,1.78,35.17,17.35,46404
20230523,000584.SZ,ST工智,专用机械,江苏,900.1,7.46,7.61,45.17,26.61,3.1,12.05,1.58,0.001,1.37,3.64,19951128,-9.82,-1.29,68.01,103.37,13.86,0.02,65210
20230523,000586.SZ,汇源通信,通信设备,四川,118.5,1.93,1.93,5.53,4.69,0.57,0.65,0.33,0.03,1.65,7.56,19951220,0.42,0.22,36.87,32.63,33.17,5.17,21976
20230523,000589.SZ,贵州轮胎,汽车配件,贵州,16.24,11.14,11.47,159.71,79.58,52.68,24.79,2.16,0.081,5.39,0.97,19960308,22.18,1.93,7.24,64.84,17.66,4.73,45594
20230523,000590.SZ,启迪药业,中成药,湖南,81.83,2.39,2.39,11.61,5.26,2.63,4.74,1.98,0.027,2.94,3.06,19960119,-0.54,-0.23,9.5,-47.33,53.28,6.53,22476
20230523,000591.SZ,太阳能,新型电力,重庆,17.56,35.95,39.09,460.7,177.0,239.75,118.1,3.02,0.099,5.69,1.23,19960208,62.15,1.59,22.27,48.39,40.47,22.8,218561
20230523,000592.SZ,平潭发展,林业,福建,0.0,19.14,19.32,41.17,33.31,2.96,14.19,0.73,-0.002,1.22,1.9,19960327,-10.2,-0.53,-3.69,-106.49,4.48,-1.73,97244
20230523,000593.SZ,德龙汇能,供气供热,四川,168.04,3.58,3.59,22.9,7.09,7.63,6.49,1.81,0.01,3.05,2.32,19960312,0.59,0.16,6.26,59.78,11.71,0.54,38094
20230523,000595.SZ,宝塔实业,机械基件,宁夏,0.0,11.38,11.39,12.18,5.89,3.54,6.95,0.61,-0.02,0.57,9.71,19960419,-11.99,-1.05,14.02,-35.43,-6.56,-34.13,86905
20230523,000596.SZ,古井贡酒,白酒,安徽,23.62,4.09,5.29,363.15,281.19,29.97,62.25,11.78,2.97,37.97,7.39,19960927,130.67,24.72,24.83,42.87,79.67,24.26,22731
20230523,000597.SZ,东北制药,化学制药,辽宁,28.72,13.37,14.34,141.86,84.04,43.02,24.16,1.68,0.05,3.26,1.72,19960523,8.75,0.61,0.02,2.51,43.95,3.11,81145
20230523,000598.SZ,兴蓉环境,水务,四川,10.84,29.69,29.86,389.1,66.56,101.46,17.81,0.6,0.13,5.08,1.08,19960529,99.01,3.32,9.72,7.37,42.18,24.57,87250
20230523,000599.SZ,青岛双星,汽车配件,山东,0.0,8.17,8.17,96.74,39.24,43.18,18.74,2.29,-0.12,2.74,1.54,19960430,-5.55,-0.68,17.66,30.96,2.91,-10.79,58532
20230523,000600.SZ,建投能源,火力发电,河北,0.0,10.9,17.92,393.63,84.62,186.33,44.51,2.48,-0.08,5.38,1.32,19960606,25.32,1.41,-1.41,-302.57,6.2,-3.96,64464
20230523,000601.SZ,韶能股份,水力发电,广东,0.0,10.8,10.81,133.84,35.12,90.16,15.81,1.46,-0.03,4.18,1.11,19960830,9.55,0.88,3.66,-201.48,12.46,-3.56,55866
20230523,000603.SZ,盛达资源,铅锌,北京,137.69,5.89,6.9,52.58,14.33,18.01,4.52,0.66,0.024,4.34,2.99,19960823,27.08,3.92,21.42,-53.74,26.6,3.13,22121
20230523,000605.SZ,渤海股份,供气供热,北京,41.34,3.38,3.53,82.53,27.94,22.44,10.9,3.09,0.039,6.0,1.07,19960913,6.08,1.72,2.62,41.68,18.83,4.23,21483
20230523,000606.SZ,*ST顺利,互联网,青海,0.0,7.66,7.66,2.02,0.64,0.17,21.18,2.77,-0.01,0.07,14.06,19961004,-28.51,-3.72,-69.23,65.72,74.34,-198.38,23197
20230523,000607.SZ,华媒控股,广告包装,浙江,373.03,8.85,10.18,38.05,14.43,0.89,-1.92,-0.19,0.004,1.54,3.47,19960830,7.45,0.73,-10.88,195.56,15.83,-0.32,41340
20230523,000608.SZ,阳光股份,区域地产,广西,0.0,7.5,7.5,48.52,1.09,0.43,5.11,0.68,-0.02,3.57,0.77,19960919,11.02,1.47,-33.28,-148.87,72.94,-14.56,28259
20230523,000609.SZ,中迪投资,区域地产,北京,0.0,2.92,2.99,22.93,21.27,0.03,0.41,0.14,-0.09,1.83,2.68,19961010,0.66,0.22,-97.31,33.78,-9.88,-3365.66,19655
20230523,000610.SZ,西安旅游,旅游服务,陕西,0.0,2.35,2.37,22.36,9.92,4.99,3.98,1.68,-0.124,2.62,6.12,19960926,-0.63,-0.27,73.53,13.77,-1.13,-23.16,74938
20230523,000612.SZ,焦作万方,铝,河南,61.91,11.91,11.92,80.44,22.21,20.76,16.51,1.39,0.02,4.46,1.1,19960926,20.62,1.73,-34.33,-88.37,-4.56,2.13,87201
20230523,000615.SZ,*ST美谷,医疗保健,湖北,0.0,7.62,7.63,37.34,8.45,12.44,0.0,0.0,-0.029,-0.24,-11.79,19961016,-9.71,-1.27,4.32,41.97,27.94,-6.21,92506
20230523,000616.SZ,*ST海投,全国地产,辽宁,0.0,14.3,14.3,53.91,0.2,0.01,0.52,0.04,-0.006,2.8,0.33,19961108,20.42,1.43,-46.2,-76.34,32.68,-118.4,67387
20230523,000617.SZ,中油资本,多元金融,新疆,10.84,126.42,126.42,10052.49,6446.67,91.32,350.48,2.77,0.17,7.75,0.97,19961022,353.99,2.8,-0.28,27.13,8.12,2032.7,161406
20230523,000619.SZ,海螺新材,其他建材,安徽,0.0,3.6,3.6,51.98,31.29,15.14,4.41,1.22,-0.054,6.1,1.05,19961023,11.39,3.16,13.29,26.15,8.24,-1.8,32439
20230523,000620.SZ,*ST新联,全国地产,北京,0.0,18.97,18.97,378.84,207.08,106.43,20.59,1.09,-0.51,-0.85,-1.26,19961029,-45.26,-2.39,-19.38,-116.05,-3.52,-200.23,88398
