trade_date,股票代码,open,close,high,low,vol,amount,振幅,ratio,change,turn_over
2019-11-20,600105,3.62,3.56,3.65,3.56,53137,19661378.0,2.47,-2.2,-0.08,0.43
2019-11-21,600105,3.52,3.53,3.59,3.51,55175,20127284.0,2.25,-0.84,-0.03,0.45
2019-11-22,600105,3.54,3.89,3.89,3.53,297285,117774630.0,10.2,10.2,0.36,2.4
2019-11-25,600105,4.15,4.29,4.29,3.95,774848,326822480.0,8.74,10.28,0.4,6.26
2019-11-26,600105,4.31,4.43,4.73,4.25,1539395,724910448.0,11.19,3.26,0.14,12.43
2019-11-27,600105,4.29,4.5,4.66,4.1,1283098,572600272.0,12.64,1.58,0.07,10.36
2019-11-28,600105,4.4,4.2,4.47,4.04,998414,432814432.0,9.56,-6.67,-0.3,8.06
2019-11-29,600105,4.14,4.23,4.25,4.04,580400,246492176.0,5.0,0.71,0.03,4.69
2019-12-02,600105,4.3,4.36,4.5,4.24,914117,410710208.0,6.15,3.07,0.13,7.38
2019-12-03,600105,4.29,4.28,4.48,4.23,700417,310918128.0,5.73,-1.83,-0.08,5.66
2019-12-04,600105,4.25,4.13,4.32,4.06,581288,247469708.0,6.07,-3.5,-0.15,4.69
2019-12-05,600105,4.15,4.16,4.22,4.07,466019,198160332.0,3.63,0.73,0.03,3.76
2019-12-06,600105,4.14,4.37,4.4,4.08,643168,277142576.0,7.69,5.05,0.21,5.19
2019-12-09,600105,4.34,4.35,4.47,4.3,609517,271880160.0,3.89,-0.46,-0.02,4.92
2019-12-10,600105,4.34,4.8,4.8,4.33,1224586,586201312.0,10.8,10.34,0.45,9.89
2019-12-11,600105,4.86,4.86,5.15,4.78,1446410,729935040.0,7.71,1.25,0.06,11.68
2019-12-12,600105,4.86,4.77,4.94,4.68,776984,380944688.0,5.35,-1.85,-0.09,6.27
2019-12-13,600105,4.77,4.88,4.95,4.72,711006,350252208.0,4.82,2.31,0.11,5.74
2019-12-16,600105,4.9,4.94,4.94,4.8,620772,309254016.0,2.87,1.23,0.06,5.01
2019-12-17,600105,4.91,4.9,5.15,4.85,857337,436087904.0,6.07,-0.81,-0.04,6.92
2019-12-18,600105,4.82,4.8,4.88,4.74,600572,294610016.0,2.86,-2.04,-0.1,4.85
2019-12-19,600105,4.74,4.83,4.87,4.74,421096,206291812.0,2.71,0.63,0.03,3.4
2019-12-20,600105,4.81,4.6,4.87,4.58,442588,213457790.0,6.0,-4.76,-0.23,3.57
2019-12-23,600105,4.6,4.41,4.65,4.4,340552,157240186.0,5.43,-4.13,-0.19,2.75
2019-12-24,600105,4.46,4.48,4.49,4.33,257166,116349688.0,3.63,1.59,0.07,2.08
2019-12-25,600105,4.47,4.45,4.52,4.41,234074,106723151.0,2.46,-0.67,-0.03,1.89
2019-12-26,600105,4.46,4.48,4.48,4.37,226177,102341081.0,2.47,0.67,0.03,1.83
2019-12-27,600105,4.49,4.5,4.68,4.49,340368,158684200.0,4.24,0.45,0.02,2.75
2019-12-30,600105,4.43,4.42,4.45,4.19,268616,119945905.0,5.78,-1.78,-0.08,2.17
2019-12-31,600105,4.41,4.4,4.5,4.35,174687,78846063.0,3.39,-0.45,-0.02,1.41
2020-01-02,600105,4.45,4.59,4.61,4.41,366678,170510446.0,4.55,4.32,0.19,2.96
